period,new_listings,active_listings,total_sold,days_on_market,property_days_on_market,median_sold_price
2011-10,573,1416,382,53,65,221000
2011-11,449,1305,344,49,62,213750
2011-12,269,996,277,56,74,208000
2012-01,457,1001,299,61,76,215000
2012-02,554,1027,385,50,68,219000
2012-03,634,1066,461,51,62,225000
2012-04,660,1135,449,36,45,227000
2012-05,727,1157,545,40,48,230000
2012-06,580,1095,481,38,47,227000
2012-07,587,1108,412,40,50,227750
2012-08,491,1055,368,41,50,223950
2012-09,562,1123,322,40,51,228500
2012-10,531,1100,373,42,53,225000
2012-11,411,1018,321,48,61,230000
2012-12,228,797,235,52,64,218000
2013-01,504,875,298,55,70,229750
2013-02,444,879,339,48,62,234000
2013-03,593,928,408,39,52,240617
2013-04,680,949,530,36,48,228250
2013-05,703,1011,504,31,37,254000
2013-06,624,1055,457,30,36,241000
2013-07,594,1073,436,39,46,245056
2013-08,524,999,406,38,50,243250
2013-09,601,1035,392,37,43,240000
2013-10,536,1006,396,37,47,245000
2013-11,447,902,394,41,49,235000
2013-12,187,631,264,47,61,219500
2014-01,394,669,262,52,65,245000
2014-02,403,684,305,41,50,250000
2014-03,571,758,401,32,40,255000
2014-04,706,840,494,29,39,266500
2014-05,786,949,560,29,33,270000
2014-06,695,967,535,31,36,271500
2014-07,642,943,509,30,38,266250
2014-08,534,921,425,33,41,260000
2014-09,587,912,422,31,39,262175
2014-10,588,871,450,33,43,265000
2014-11,409,724,398,35,45,268950
2014-12,224,543,281,36,45,255000
2015-01,462,628,263,42,56,267500
2015-02,439,602,367,31,37,282500
2015-03,663,705,457,26,32,286250
2015-04,745,782,566,23,30,290000
2015-05,875,914,627,23,28,292000
2015-06,823,833,747,22,27,290100
2015-07,636,772,569,26,31,300000
2015-08,654,865,420,28,34,290000
2015-09,705,894,496,27,33,298350
2015-10,682,900,504,29,35,296325
2015-11,499,776,468,27,37,288850
2015-12,287,564,310,35,49,285500
2016-01,444,584,311,38,48,283900
2016-02,514,574,430,27,38,309500
2016-03,611,579,531,25,33,325000
2016-04,714,633,549,21,27,350000
2016-05,809,679,627,20,24,351000
2016-06,783,684,651,20,25,352500
2016-07,658,660,553,24,29,350000
2016-08,651,646,525,22,28,348000
2016-09,662,693,479,23,28,360000
2016-10,694,657,556,23,29,364000
2016-11,580,617,481,21,26,364500
2016-12,247,433,312,30,36,365000
2017-01,411,395,346,28,33,358000
2017-02,541,367,508,21,30,390000
2017-03,739,409,625,17,21,425000
2017-04,783,507,604,13,16,440000
2017-05,1084,794,620,14,16,429450
2017-06,933,935,520,18,21,395000
2017-07,708,950,415,23,29,385000
2017-08,577,892,342,30,38,385000
2017-09,805,1015,368,31,38,370000
2017-10,747,980,487,23,31,372000
2017-11,654,932,430,32,46,385000
2017-12,272,662,324,37,52,395500
2018-01,416,612,255,40,63,412000
2018-02,434,608,289,30,47,391000
2018-03,672,716,408,22,35,402500
2018-04,758,827,447,25,36,418000
2018-05,888,996,493,25,34,425900
2018-06,748,1032,447,25,32,415000
2018-07,693,1038,403,28,38,430000
2018-08,596,939,422,29,39,404500
2018-09,722,1018,356,30,44,408500
2018-10,789,1102,433,29,44,419900
2018-11,516,950,376,34,49,420000
2018-12,220,679,251,41,58,419000
2019-01,496,697,267,39,56,415000
2019-02,480,678,333,33,46,440000
2019-03,667,738,439,28,42,433000
2019-04,788,850,513,23,34,450100
2019-05,926,947,587,24,33,452000
2019-06,769,950,506,25,33,439950
2019-07,694,893,488,25,33,450000
2019-08,615,838,434,27,36,455000
2019-09,781,898,431,25,36,445000
2019-10,726,837,503,28,41,460000
2019-11,455,660,436,30,42,460000
2019-12,228,427,282,32,47,470000
2020-01,510,507,311,31,44,492500
2020-02,574,508,456,21,29,500050
2020-03,751,651,451,18,21,500000
2020-04,373,661,231,26,30,460900
2020-05,506,636,377,27,36,500000
2020-06,797,712,533,19,25,505000
2020-07,831,699,658,18,23,525000
2020-08,857,718,613,24,30,539900
2020-09,866,714,633,16,21,540000
2020-10,829,675,662,17,21,555550
2020-11,678,592,567,17,22,566000
2020-12,339,342,411,21,26,570000
2021-01,452,326,378,21,30,610000
2021-02,703,397,502,16,20,645000
2021-03,1243,538,828,11,13,671750
2021-04,1178,638,757,11,16,645000
2021-05,1023,656,742,12,14,660000
2021-06,835,581,615,14,18,640000
2021-07,663,484,527,16,20,635000
2021-08,623,408,518,18,23,643000
2021-09,702,441,496,14,18,680625
2021-10,648,371,549,12,16,680000
2021-11,592,332,513,14,18,711000
2021-12,295,147,371,17,20,725000
2022-01,402,182,311,15,17,790000
2022-02,743,309,520,8,9,854444
2022-03,1069,501,657,9,10,820000
2022-04,1046,726,508,10,13,760000
2022-05,1102,942,475,14,18,750000
2022-06,1050,1129,389,16,22,680000
2022-07,685,1043,317,21,31,670000
2022-08,662,966,345,28,38,649000
2022-09,708,1020,294,31,41,660000
2022-10,669,1015,301,28,41,640000
2022-11,540,947,266,27,42,636000
2022-12,265,724,181,36,54,610000
2023-01,469,689,250,34,56,654400
2023-02,486,726,296,31,51,670000
2023-03,649,685,423,27,40,655000
2023-04,673,776,411,22,34,689700
2023-05,849,862,485,19,29,700000
2023-06,812,936,418,22,31,675000
2023-07,751,1061,307,21,27,664900
2023-08,633,1059,307,23,33,650000
2023-09,871,1250,261,23,33,642000
2023-10,829,1339,273,24,36,632000
2023-11,635,1252,274,29,42,612500
2023-12,209,941,197,39,58,652500
2024-01,477,847,271,48,74,635000
2024-02,616,932,317,35,53,647000
2024-03,694,999,378,27,40,680000
2024-04,825,1146,383,28,42,680000
2024-05,1012,1388,419,23,30,670000
2024-06,856,1487,329,27,38,680000
2024-07,895,1549,325,29,41,629000
2024-08,751,1549,301,33,49,650000
2024-09,1064,1765,317,33,51,650000
2024-10,850,1713,386,37,55,650000
2024-11,702,1604,339,41,61,645000
2024-12,309,1284,227,41,62,645000
